op_id,ticker,mercado,scn_ref,fecha,hora_entrada,hora_salida,entrada,salida,result_pct,rr,resultado,score
3549467dbe39,GOOGL,nyse,ST-04,2026-07-07 00:00:00,20:00:00,04:00:00,316.22,358.8900146484375,13.494,1.155,WIN,82.0
a2cce9b12eb9,LINK,crypto,SC-02,2026-08-08 00:00:00,08:56:00,01:00:00,8.261,8.189,-0.872,-0.608,LOSS,81.0
657ed71e1f44,BNB,crypto,SC-02,2026-08-08 00:00:00,08:56:00,01:00:00,594.37,590.95,-0.575,-0.277,LOSS,63.0
a1d3348a8630,AAPL,nyse,ST-16,2026-08-07 00:00:00,21:22:00,04:00:00,313.33,305.54998779296875,-2.483,-0.629,LOSS,95.0
547fd0135cd2,AVGO,nyse,ST-16,2026-08-07 00:00:00,21:22:00,04:00:00,427.76,394.8349914550781,-7.697,-0.876,LOSS,100.0
86a0d4943e12,MSFT,nyse,ST-16,2026-08-07 00:00:00,21:22:00,04:00:00,499.99,489.17999267578125,-2.162,-0.175,TIMEOUT,100.0
606dec7ff5b1,NVDA,nyse,ST-16,2026-08-07 00:00:00,21:22:00,04:00:00,223.96,214.72000122070312,-4.126,-0.49,LOSS,100.0
